"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test for multiplication","4","testMultiply()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testMultiply"
"Test for exponentiation","4","testPower()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testPower"
"Test for large division result (should fail)","19","testDivideInfinityFailure()","","Thu Nov 28 19:14:57 CET 2024","failed","Thu Nov 28 19:14:57 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testDivideInfinityFailure"
"Test for square root calculation","7","testSqrt()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testSqrt"
"","7473","testAddition()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:54 CET 2024","","com.example.CalculatorUITest","com.example.CalculatorUITest","testAddition"
"Test for invalid square root calculation","7","testSqrtOfNegative()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testSqrtOfNegative"
"Test for subtraction","4","testSubtract()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testSubtract"
"Test for addition","4","testAdd()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testAdd"
"Test for division by zero","187","testDivideByZero()","","Thu Nov 28 19:22:45 CET 2024","passed","Thu Nov 28 19:22:45 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testDivideByZero"
"Test for division","3","testDivide()","","Thu Nov 28 19:22:46 CET 2024","passed","Thu Nov 28 19:22:46 CET 2024","","com.example.CalculatorTest","com.example.CalculatorTest","testDivide"
